name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,"Ano do ciclo eleitoral de dois anos, identificado pelo ano par em que termina",1980(2)2026,no,,year,no,"Coluna de partição. Identifica o arquivo em massa da FEC publicado para aquele ciclo. Um ciclo cobre dois anos e é rotulado pelo ano par em que termina, de modo que year=2026 abrange as transações de 2025 e 2026.",,"Year of the two-year election cycle, identified by the even year in which it ends","Año del ciclo electoral de dos años, identificado por el año par en que termina"
committee_id,STRING,Identificador de nove caracteres do comitê declarante atribuído pela FEC,,no,,,no,,CMTE_ID,Nine-character identifier of the filing committee assigned by the FEC,Identificador de nueve caracteres del comité declarante asignado por la FEC
other_id,STRING,Identificador FEC da contraparte quando ela é um comitê ou candidato registrado,,no,,,no,,OTHER_ID,FEC identifier of the counterparty when it is a registered committee or candidate,Identificador FEC de la contraparte cuando es un comité o candidato registrado
transaction_id,STRING,"Identificador da transação, único por comitê e por relatório",,no,,,no,,TRAN_ID,"Transaction identifier, unique per committee and per report","Identificador de la transacción, único por comité y por informe"
sub_id,STRING,"Número do registro na FEC, único em toda a base",,no,,,no,"Identificador; aritmética sobre ele não tem significado, por isso STRING.",SUB_ID,"FEC record number, unique across the entire database","Número de registro en la FEC, único en toda la base"
file_number,STRING,Identificador do relatório em que a transação foi informada,,no,,,no,,FILE_NUM,Identifier of the report in which the transaction was filed,Identificador del informe en el que se declaró la transacción
image_number,STRING,Número da imagem digitalizada do documento na FEC,,no,,,no,,IMAGE_NUM,Number of the scanned document image at the FEC,Número de la imagen escaneada del documento en la FEC
amendment_indicator,STRING,"Indica se o relatório é novo, uma emenda ou uma rescisão",,yes,,,no,,AMNDT_IND,"Indicates whether the report is new, an amendment or a termination","Indica si el informe es nuevo, una enmienda o una rescisión"
report_type,STRING,Tipo de relatório apresentado à FEC,,yes,,,no,,RPT_TP,Type of report filed with the FEC,Tipo de informe presentado ante la FEC
election_type_year,STRING,Tipo de eleição e ano ao qual a transação se refere,,no,,,no,"Código composto: uma letra de tipo de eleição (P primária, G geral, O outra, C convenção, R segundo turno, S especial, E recontagem) seguida do ano com quatro dígitos, por exemplo P2026. Valores antigos podem estar irregulares.",TRANSACTION_PGI,Election type and year the transaction refers to,Tipo de elección y año al que se refiere la transacción
transaction_type,STRING,Código do tipo de transação,,yes,,,no,,TRANSACTION_TP,Transaction type code,Código del tipo de transacción
entity_type,STRING,"Tipo de entidade da contraparte (candidato, comitê, indivíduo, organização)",,yes,,,no,,ENTITY_TP,"Entity type of the counterparty (candidate, committee, individual, organization)","Tipo de entidad de la contraparte (candidato, comité, individuo, organización)"
counterparty_name,STRING,Nome do comitê ou entidade contraparte,,no,,,no,,NAME,Name of the counterparty committee or entity,Nombre del comité o entidad contraparte
counterparty_city,STRING,Cidade do comitê ou entidade contraparte,,no,,,no,,CITY,City of the counterparty committee or entity,Ciudad del comité o entidad contraparte
counterparty_state,STRING,Sigla de duas letras do estado do comitê ou entidade contraparte,,no,,,no,"Preenchido pelo declarante; inclui códigos estrangeiros, militares (AA, AE, AP) e erros de digitação, por isso não é ligado ao diretório de estados.",STATE,Two-letter state code of the counterparty committee or entity,Código de dos letras del estado del comité o entidad contraparte
counterparty_zip_code,STRING,Código postal (ZIP) do comitê ou entidade contraparte,,no,,,no,,ZIP_CODE,ZIP code of the counterparty committee or entity,Código postal (ZIP) del comité o entidad contraparte
counterparty_employer,STRING,Empregador do comitê ou entidade contraparte,,no,,,no,,EMPLOYER,Employer of the counterparty committee or entity,Empleador del comité o entidad contraparte
counterparty_occupation,STRING,Ocupação do comitê ou entidade contraparte,,no,,,no,,OCCUPATION,Occupation of the counterparty committee or entity,Ocupación del comité o entidad contraparte
transaction_date,DATE,Data da transação,,no,,,no,"A FEC publica a data como declarada, e há erros de digitação: os dados brutos trazem datas de 1899 a 2202. Datas fora da janela plausível são gravadas como nulas — anteriores à criação da FEC em 1975, ou posteriores a 31 de dezembro do próprio ciclo, já que uma transação não pode ser datada depois do ciclo a que pertence. Apenas a data é descartada; a linha e seus demais campos são preservados. São cerca de 7 mil datas em 367 milhões de linhas. O limite inferior é global, e não relativo ao ciclo, porque 2,29 milhões de linhas antecedem legitimamente o próprio ciclo: quitações de empréstimo, reembolsos e memorandos carregam a data da transação original.",TRANSACTION_DT,Date of the transaction,Fecha de la transacción
transaction_amount,FLOAT64,Valor da transação em dólares,,no,,USD,no,,TRANSACTION_AMT,Amount of the transaction in dollars,Monto de la transacción en dólares
memo_code,STRING,Indicador de memorando; X sinaliza que o valor não entra no total do relatório,,yes,,,no,,MEMO_CD,Memo indicator; X flags that the amount is not included in the report total,Indicador de memorando; X señala que el monto no entra en el total del informe
memo_text,STRING,Descrição textual da atividade informada no memorando,,no,,,no,,MEMO_TEXT,Free-text description of the activity reported in the memo,Descripción textual de la actividad informada en el memorando
